ID;Fecha;Tweet;Favorites;Retweets
1,30308E+18;07/09/2020 21:20;De los inhumados en el Cementerio La Verbena, 636 son hombres y 293 mujeres. https://t.co/aRRZHX105X;0;1
1,30307E+18;07/09/2020 20:30;El Gobierno de Guatemala, a través de la Secretaría de Comunicación Social de la Presidencia, inició una serie de c… https://t.co/DBt4lmA2kl;4;3
1,30306E+18;07/09/2020 20:17;@_SJPeace_ And migrant workers from Mexico and Guatemala are 70% of the coronavirus cases in Agricultural regions of Monterey county;0;0
1,30306E+18;07/09/2020 20:14;"-La típica de EL PAPA FRANCISCO DICE *inserte algo q nada q ver* ES PEOR QUE EL CORONAVIRUS!!! 
-COMUNICADO DEL CAC… https://t.co/MlQhLMRSsu";3;0
1,30306E+18;07/09/2020 19:58;"*Paja del día por parte de aquellos mentirosos.

Según el Ministerio de Salud, en las últimas 24 horas se sumaron *… https://t.co/Z6DqFn2yOo";0;0
1,30306E+18;07/09/2020 19:44;"CORONAVIRUS GUATEMALA – 77,828 CASOS ACUMULADOS
Carlos R. Paredes
7 de septiembre 2020

Día 177… ¡Incluso con el re… https://t.co/iWo445YGOF";0;0
1,30306E+18;07/09/2020 19:39;"@claudiaguns ""Primero Dios nos llega el Coronavirus a Guatemala""

🙃";0;0
1,30305E+18;07/09/2020 19:30;"Guatemala mantiene 8 mil 382 casos activos de infectados del brote de coronavirus
https://t.co/PRhnPxChda";0;0
1,30305E+18;07/09/2020 19:12;"Guatemala reporta 66 mil 584 recuperados de coronavirus
https://t.co/z37cLXSzb1 https://t.co/ha5XQiRG9g";0;0
1,30304E+18;07/09/2020 18:50;En No-Ficción nos unimos a #eselcolmogt! Una campaña que busca evidenciar a través de crónicas periodísticas varias… https://t.co/F1FOTu4rsr;8;7
1,30304E+18;07/09/2020 18:26;"#LionelMessi #SeQueda 

https://t.co/Mr9NuElfpX

#BuenLunes #7deseptiembre #FelizLunes #coronavirus #COVID19… https://t.co/Nnz8k4h29B";0;0
1,30303E+18;07/09/2020 18:15;#UnidosContraElCoronavirus | El @MinSaludGuate reportó que se recuperaron 66 mil 584 pacientes de coronavirus (COVI… https://t.co/5efVzeQgWI;2;0
1,30303E+18;07/09/2020 18:09;#Guatemala Coronavirus Cases at 77683 Persons https://t.co/sw2sQiq7Xi https://t.co/H0rk6FhxAJ;0;0
1,30303E+18;07/09/2020 17:54;"@CoronaVirusGT Pense que el perfil se llamaba CoronaVirus ""Guatemala""....";0;0
1,30303E+18;07/09/2020 17:40;"UPDATE: New cases of #coronavirus #COVID19 #COVID_19 

Spain (+26560, tot. 525549)
US (+3489, tot. 6289964)
Israel… https://t.co/acUB2YV2oW";1;0
1,30303E+18;07/09/2020 17:39;Al menos 184 mil trabajadores han sido beneficiados a través del #FondoDeProtecciónDelEmpleo como parte de la ayuda… https://t.co/HcxkyLMKGQ;9;5
1,30302E+18;07/09/2020 17:32;"#AlertaCoronavirus 
Al menos 184 mil trabajadores han sido beneficiados a través del #FondoDeProtecciónDelEmpleo co… https://t.co/FqTs8LEC3C";0;1
1,30302E+18;07/09/2020 17:29;"Ciudad de Guatemala hoy 7:00 A.M.
A dar lo mejor en este inicio de semana.
Ánimo, con Fé! A ganar la guerra al Coro… https://t.co/k3V1Y6Bhvt";0;0
1,30302E+18;07/09/2020 17:15;#coronavirus update in #Guatemala. New cases confirmed 145, new recovered 453, new deaths 10. Total cases in Guatem… https://t.co/sHf0Xw9CpB;0;0
1,30302E+18;07/09/2020 17:11;"145 new cases and 10 new deaths in Guatemala 

[18:11 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic";0;0
1,30301E+18;07/09/2020 16:53;Guatemala y Países Bajos en puestos 40 y 41 por total de casos #Coronavirus #Covid19 en @Worldometers. ~17.9 y ~17.… https://t.co/IxpaI1qGBI;4;0
1,30301E+18;07/09/2020 16:42;- El presidente Alejandro Giammattei informó a la población que los casos de coronavirus (COVID-19) en Guatemala di… https://t.co/ICMPVjOGdS;0;0
1,303E+18;07/09/2020 15:59;"Actualización #Guatemala - 2020-09-06
Nuevos Casos : 202
Fallecidos por día : 7
Total Casos : 77683
Total Recuperad… https://t.co/Ue0XpUn6CV";0;0
1,303E+18;07/09/2020 15:57;El aumento en la tarifa es para cubrir los costos de operación durante esta emergencia por el covid-19, según trans… https://t.co/msQo7s0xmY;7;0
1,30299E+18;07/09/2020 15:08;"Nuestro país acumula 77 mil 828 casos totales de infectados de coronavirus
https://t.co/EnwDk3DvbV #Telediario";1;0
1,30299E+18;07/09/2020 15:04;⏩ #Coronavirus en Guatemala: 145 casos nuevos, 10 fallecidos y 599 pruebas realizadas durante el domingo 06 de sept… https://t.co/eV6fUqwuvH;5;0
1,30298E+18;07/09/2020 14:57;Coronavirus en Guatemala: Salud reporta 145 nuevos casos de 599 pruebas procesadas https://t.co/Su1SNymH2i;10;2
1,30298E+18;07/09/2020 14:57;Cifras totales de covid-19 suman 77 mil 828 contagios y 2 mil 862 muertes en todo Guatemala. https://t.co/bEMBWD4dDT;4;0
1,30298E+18;07/09/2020 14:51;En la escuela, cuando era niña, María Esperanza Alicia Tuctuc Mux tenía prohibido hablar en kaqchikel, su idioma ma… https://t.co/uZ5xdWd5rR;83;20
1,30298E+18;07/09/2020 14:46;#ACTUALIZACIÓN El Ministerio de Salud actualiza datos sobre el Coronavirus en Guatemala e informa que en las última… https://t.co/VXBe27uckp;4;3
1,30298E+18;07/09/2020 14:40;Ministerio de Salud confirma 145 casos de coronavirus y la cifra aumentó a 77,828 en Guatemala | La Red https://t.co/CiOGc7VOXU;0;0
1,30298E+18;07/09/2020 14:35;"#NacionalesGt
Actualización de casos de Coronavirus en Guatemala:
77828 casos registrados.
145 casos nuevos. https://t.co/vs45bltivk";1;0
1,30298E+18;07/09/2020 14:35;#EUCoronavirus El Ministerio de Salud Pública y Asistencia Social (MSPAS) actualizó los datos sobre la situación de… https://t.co/RrY5J50Ioc;6;2
1,30298E+18;07/09/2020 14:34;#CORONAVIRUSGT El Ministerio de Salud Pública y Asistencia Social (MSPAS) actualizó los datos sobre la situación de… https://t.co/65HMHGVGfU;2;0
1,30298E+18;07/09/2020 14:31;#URGENTE Según el @MinSaludGuate, en las últimas 24 horas se sumaron 145 casos positivos y 10 muertes #CORONAVIRUSGT https://t.co/37kDT6eedo;1;0
1,30298E+18;07/09/2020 14:31;#URGENTE Según el @MinSaludGuate, en las últimas 24 horas se sumaron 145 casos positivos y 10 muertes #EUCoronavirus https://t.co/zYfh7fICEj;8;3
1,30297E+18;07/09/2020 14:19;#Guatemala Coronavirus Deaths at 2852 Persons https://t.co/FUaCInEJfO https://t.co/S15B5Yw9ZM;0;0
1,30297E+18;07/09/2020 14:18;Hoy es la primera mujer presidenta de la Academia de Lenguas Mayas de Guatemala y tiene la misión de promover el co… https://t.co/RUmOm4xnUK;8;2
1,30297E+18;07/09/2020 14:05;#Guatemala Coronavirus Cases at 77683 Persons https://t.co/sw2sQiq7Xi https://t.co/nEDEciubu6;0;0
1,30296E+18;07/09/2020 13:24;"COVID-19 // Coronavirus en Centroamérica y República Dominicana:
🔴93,333 República Dominicana
🔴97,043 Panamá
🔴77,68… https://t.co/ObENrKsXHd";7;7
1,30296E+18;07/09/2020 13:10;"We thank @DrGiammattei &amp; the government of #CentralAmerica ally #Guatemala for urging #Taiwan's inclusion in the… https://t.co/NpaohdjKMP";260;53
1,30295E+18;07/09/2020 12:58;Crees que el descenso de los casos de coronavirus en Guatemala se deben a:;0;0
1,30295E+18;07/09/2020 12:45;"[SITUACIÓN SOBRE COVID-19]

El mandatario anunció la noche de este domingo las disposiciones que estarán vigentes p… https://t.co/47WlRq1rXI";0;0
1,30294E+18;07/09/2020 12:14;"¿Por qué cree que han bajado los casos de coronavirus en Guatemala?

#VLNALaBaja";12;3
1,30294E+18;07/09/2020 12:08;El municipio de Guatemala se encamina a vencer al coronavirus | En julio, FUNDESA, donó 15 mil 445 kits de medicame… https://t.co/sCfJBlaN2o;10;3
1,30291E+18;07/09/2020 10:15;#PorSiNoLoVio | Más laboratorios están en capacitación para que puedan sumarse al diagnóstico del covid-19. https://t.co/rCLB6An4i4;5;0
1,30289E+18;07/09/2020 8:57;#Guatemala mantiene las restricciones por el #Coronavirus en las fiestas por la independencia https://t.co/G9LXzYwCnO;0;0
